process_order,exclude,manual_download,name,designation,source_id_col,source_name_col,forest_restriction,og_restriction,mine_restriction,url,bcgw_layer_name,file_in_url,layer_in_file,query,metadata_url,info_url,preprocess_operation,preprocess_args,notes,license,comments_2019
1,,,"Conservation Lands, Administered Lands",private_conservation_lands_admin,conservation_land_id,site_name,High,Low,Low,https://catalogue.data.gov.bc.ca/dataset/conservation-lands,WHSE_LEGAL_ADMIN_BOUNDARIES.WCL_CONSERVATION_LANDS_SP,,,"CONSERVATION_LAND_TYPE = 'Administered Lands' AND TENURE_TYPE NOT IN( 'Lease - WMA' , 'Lease' )",https://catalogue.data.gov.bc.ca/dataset/conservation-lands,http://www.env.gov.bc.ca/fw/habitat/conservation-lands/,,,,Open Government License - British Columbia,Treated same as WMA
2,,,Mineral Reserve Sites,mineral_reserve,site_number_id,site_name,None,None,Full,https://catalogue.data.gov.bc.ca/dataset/mta-mineral-reserve-sites-business-view,WHSE_MINERAL_TENURE.MTA_SITE_SP,,,"MTA_SITE_ORDER_RESTR_CODE = 'N' AND MTA_SITE_REASON_CODE IN ('ECOL', 'ENVI', 'PROT', 'WLDL', 'WLDN', 'PADD', 'PARK')",https://catalogue.data.gov.bc.ca/dataset/mta-mineral-reserve-sites-business-view,http://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/mineral-exploration-mining/documents/mineral-titles/mineral-placer-titles-getting-started/forms-maps-publications/general-information/reserves.pdf,,,,Open Government License - British Columbia,O&G unknown. Limited to no registraion reserve catergory.
3,,,"Ungulate Winter Range, No Harvest",uwr_no_harvest,ungulate_winter_range_id,uwr_number,Full,Medium,None,https://catalogue.data.gov.bc.ca/dataset/ungulate-winter-range-approved,WHSE_WILDLIFE_MANAGEMENT.WCP_UNGULATE_WINTER_RANGE_SP,,,TIMBER_HARVEST_CODE = 'NO HARVEST ZONE',https://catalogue.data.gov.bc.ca/dataset/ungulate-winter-range-approved,,,,,Open Government License - British Columbia,"Under EMPR, section 6: operations are not to be located in WHA areas. Check of tenure with WHA indicates XXXXXX"
4,,,"Wildlife Habitat Areas, No harvest",wha_no_harvest,habitat_area_id,tag,Full,Medium,None,https://catalogue.data.gov.bc.ca/dataset/wildlife-habitat-areas-approved,WHSE_WILDLIFE_MANAGEMENT.WCP_WILDLIFE_HABITAT_AREA_POLY,,,TIMBER_HARVEST_CODE = 'NO HARVEST ZONE' AND FEATURE_NOTES NOT LIKE '%not a legal boundary%',https://catalogue.data.gov.bc.ca/dataset/wildlife-habitat-areas-approved,,,,,Open Government License - British Columbia,"Under EMPR, section 6: operations are not to be located in WHA areas. Overlay of non-expired tenures shows overlap with WHA areas (indicate not srict restriction (?)."
5,,,Biodiversity Mining and Tourism Areas,biodiv_mining_tourism_areas,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,"LEGAL_FEAT_OBJECTIVE = 'Biodiversity, Mining and Tourism Areas (BMTA)'",https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,,,,,Open Government License - British Columbia,O&G unknown. No commercial logging operations but mining activities permitted
6,,,Sea to Sky Wildland Area,wildland_area,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,STRGC_LAND_RSRCE_PLAN_NAME = 'Sea to Sky Land and Resource Management Plan' AND LEGAL_FEAT_OBJECTIVE = 'Wildland Area',https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,https://www.for.gov.bc.ca/tasb/slrp/plan79.html,,,,Open Government License - British Columbia,"Mining and Comercial timber harvest are allowed in subsections of the wildland zone (50% area), and in some other area limited by Visual quality guidelines. Oil exploration is allowed subject to FN social, cultural and environ uses."
7,,,Special Wildland RMZ in Muskwa Kechika MA,muskwa_kechika_special_wildland,non_legal_feat_id,non_legal_feat_atrb_1_value,Full,Medium,Medium,https://catalogue.data.gov.bc.ca/dataset/non-legal-planning-features-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_NON_LEGAL_POLY_SVW,,,"NON_LEGAL_FEAT_ID IN (65488,65490,65491,65492,65497,65501,65508)",https://catalogue.data.gov.bc.ca/dataset/non-legal-planning-features-current-polygon,http://www.muskwa-kechika.com/management-area/resource-management-zones,,,,Open Government License - British Columbia,
8,,,Old Growth Management Areas - Legal Current,ogma_legal,legal_ogma_internal_id,ogma_primary_reason,High,Medium,None,https://catalogue.data.gov.bc.ca/dataset/old-growth-management-areas-legal-current,WHSE_LAND_USE_PLANNING.RMP_OGMA_LEGAL_CURRENT_SVW,,,,https://catalogue.data.gov.bc.ca/dataset/old-growth-management-areas-legal-current,,,,,Open Government License - British Columbia,"Guidelines specified in section 7 of the EPM, further a letter of expectation wrtiten by FLRORD for OGAA statutory decision makers outlined the % of disturbance that can occur with in OGMAs of different sizes. See References doc specifies 10% under OGMA of less that 100ha, and 5ha or 10% for greater than 100 ha. OGMA's covered under Land Use Objectives Regulations under the Land Act (previously they were designated under forest practise code)."
9,,,VQO Preserves,vqo_preserve,vli_polygon_id,rationale,High,None,None,https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,WHSE_FOREST_VEGETATION.REC_VISUAL_LANDSCAPE_INVENTORY,,,REC_MADE_KNOWN_CODE = 'Y' AND REC_EVQO_CODE = 'P',https://catalogue.data.gov.bc.ca/dataset/visual-landscape-inventory,http://www2.gov.bc.ca/gov/content/industry/forestry/managing-our-forest-resources/visual-resource-management,,,,Open Government License - British Columbia,Section 16 of Forest Recreation regulations specifes buisness or industry must be approved by rec. officer. Specifications under the EMPR designates rec sites as a resource feature and specifes no damage or render ineffective. Originally marked low after discusssion with Brandy but coudl be medium based on legistlation?
10,,,Designated Areas,designated_area,feature_id,designated_area_name,High,None,None,https://catalogue.data.gov.bc.ca/dataset/fadm-designated-areas,WHSE_ADMIN_BOUNDARIES.FADM_DESIGNATED_AREAS,,,RETIREMENT_DATE > '{currdate}' OR DESIGNATED_AREA_NAME = 'Yale Area 3',https://catalogue.data.gov.bc.ca/dataset/fadm-designated-areas,http://www.bclaws.ca/civix/document/LOC/complete/statreg/--%20F%20--/Forest%20Act%20[RSBC%201996]%20c.%20157/00_Act/96157_14.xml,,,,Open Government License - British Columbia,
11,,,Flathead Watershed Area,flathead,ogc_fid,name,None,Full,Full,ftp://ftp.geobc.gov.bc.ca/sections/outgoing/dss/GeoBC_Digital_Media/ELUC_order/FlatheadValley/Flathead_Watershed_area.zip,,Flathead_Watershed_area.shp,,,ftp://ftp.geobc.gov.bc.ca/sections/outgoing/dss/GeoBC_Digital_Media/ELUC_order/FlatheadValley/,http://www.bclaws.ca/civix/document/id/lc/billsprevious/4th39th:gov02-1,,,,,Provisions for permits to cut and adjust the AAC included in regulation for designated areas. Covered under Forest Act
12,,,Class1 Coast Grizzly Bear Habitat (Coast LUP),great_bear_grizzly_class1,gb_class,gb_class,Medium,None,None,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules/GBRO_Schedules_20160120.gdb.zip,,GBRO_Schedules_20160120.gdb,GBRSchD_GB_20151105,GB_CLASS = 1,ftp://ftp.geobc.gov.bc.ca/publish/Regional/Nanaimo/CoastImplementation/EBMDataCentre/Objectives/ScheduleData/2016GBROSchedules,https://www.for.gov.bc.ca/TASB/SLRP/GBR_LUO_2016.html,,,,,No oil and gas exploration and designated as coal land reserve. No mention of forest/ timber although seems to have been managed
13,,,Nlhaxten/Cayoosh Wildland Area,nlhaxten_cayoosh_wildland_area,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,STRGC_LAND_RSRCE_PLAN_NAME = 'Lillooet Land and Resource Management Plan' AND LEGAL_FEAT_OBJECTIVE = 'Wildland Area',https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,https://www.for.gov.bc.ca/tasb/LEGSREGS/frpa/frparegs/govact/orders/cascades.htm,,,,Open Government License - British Columbia,
14,,,South Chilcotin Mountains Mining and Tourism Areas,s_chilcotin_mta,legal_feat_id,legal_feat_atrb_1_value,Full,None,None,https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,WHSE_LAND_USE_PLANNING.RMP_PLAN_LEGAL_POLY_SVW,,,STRGC_LAND_RSRCE_PLAN_NAME = 'Lillooet Land and Resource Management Plan' AND LEGAL_FEAT_OBJECTIVE = 'Mining and Tourism Area',https://catalogue.data.gov.bc.ca/dataset/legal-planning-objectives-current-polygon,http://www.bclaws.ca/civix/document/id/oic/arc_oic/0453_2010,,,,Open Government License - British Columbia,
15,,,Forest Rec Sites - high,rec_site_high,forest_file_id,project_name,High,None,None,https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,WHSE_FOREST_TENURE.FTEN_RECREATION_POLY_SVW,,,"PROJECT_TYPE in ('Recreation Reserve', 'Interpretative Forest') and FILE_STATUS_CODE = 'HI' and RETIREMENT_DATE IS NULL",https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,,,,,Open Government License - British Columbia,Forestry restricted by tourism and mining allowed as per lilloett land and resource management plan.
16,,,Forest Rec Sites - med,rec_site_med,forest_file_id,project_name,Medium,None,None,https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,WHSE_FOREST_TENURE.FTEN_RECREATION_POLY_SVW,,,"PROJECT_TYPE in ('Recreation Site', 'Recreation Trail') and FILE_STATUS_CODE = 'HI' and RETIREMENT_DATE IS NULL",https://catalogue.data.gov.bc.ca/dataset/recreation-polygons,,,,,Open Government License - British Columbia,Forestry restricted by tourism and mining allowed as per lilloett land and resource management plan.
